Country,IUCN,Species,Value
Australia,CRITICAL,Amphibians,15.0
Australia,CRITICAL,Birds,17.0
Australia,CRITICAL,Fish,7.0
Australia,CRITICAL,Freshwater Fish,3.0
Australia,CRITICAL,Invertebrates,30.0
Australia,CRITICAL,Mammals,10.0
Australia,CRITICAL,Marine Fish,4.0
Australia,CRITICAL,Reptiles,10.0
Australia,CRITICAL,Vascular plants,198.0
Australia,ENDANGERED,Amphibians,10.0
Australia,ENDANGERED,Birds,55.0
Australia,ENDANGERED,Fish,19.0
Australia,ENDANGERED,Freshwater Fish,17.0
Australia,ENDANGERED,Invertebrates,22.0
Australia,ENDANGERED,Mammals,38.0
Australia,ENDANGERED,Marine Fish,2.0
Australia,ENDANGERED,Reptiles,20.0
Australia,ENDANGERED,Vascular plants,555.0
Australia,TOT_KNOWN,Amphibians,239.0
Australia,TOT_KNOWN,Birds,799.0
Australia,TOT_KNOWN,Fish,5305.0
Australia,TOT_KNOWN,Freshwater Fish,375.0
Australia,TOT_KNOWN,Invertebrates,114095.0
Australia,TOT_KNOWN,Mammals,380.0
Australia,TOT_KNOWN,Marine Fish,5051.0
Australia,TOT_KNOWN,Reptiles,1080.0
Australia,TOT_KNOWN,Vascular plants,23968.0
Australia,VULNERABLE,Amphibians,12.0
Australia,VULNERABLE,Birds,63.0
Australia,VULNERABLE,Fish,24.0
Australia,VULNERABLE,Freshwater Fish,16.0
Australia,VULNERABLE,Invertebrates,13.0
Australia,VULNERABLE,Mammals,59.0
Australia,VULNERABLE,Marine Fish,8.0
Australia,VULNERABLE,Reptiles,31.0
Australia,VULNERABLE,Vascular plants,588.0
Austria,CRITICAL,Amphibians,1.0
Austria,CRITICAL,Birds,14.0
Austria,CRITICAL,Fish,6.0
Austria,CRITICAL,Freshwater Fish,6.0
Austria,CRITICAL,Invertebrates,302.0
Austria,CRITICAL,Lichens,57.0
Austria,CRITICAL,Mammals,4.0
Austria,CRITICAL,Mosses,34.0
Austria,CRITICAL,Reptiles,3.0
Austria,CRITICAL,Vascular plants,172.0
Austria,ENDANGERED,Amphibians,3.0
Austria,ENDANGERED,Birds,24.0
Austria,ENDANGERED,Fish,18.0
Austria,ENDANGERED,Freshwater Fish,18.0
Austria,ENDANGERED,Invertebrates,310.0
Austria,ENDANGERED,Lichens,135.0
Austria,ENDANGERED,Mammals,6.0
Austria,ENDANGERED,Mosses,69.0
Austria,ENDANGERED,Reptiles,3.0
Austria,ENDANGERED,Vascular plants,348.0
Austria,TOT_KNOWN,Amphibians,20.0
Austria,TOT_KNOWN,Birds,213.0
Austria,TOT_KNOWN,Fish,84.0
Austria,TOT_KNOWN,Freshwater Fish,84.0
Austria,TOT_KNOWN,Invertebrates,45244.0
Austria,TOT_KNOWN,Lichens,2100.0
Austria,TOT_KNOWN,Mammals,101.0
Austria,TOT_KNOWN,Mosses,1016.0
Austria,TOT_KNOWN,Reptiles,14.0
Austria,TOT_KNOWN,Vascular plants,2950.0
Austria,VULNERABLE,Amphibians,8.0
Austria,VULNERABLE,Birds,28.0
Austria,VULNERABLE,Fish,15.0
Austria,VULNERABLE,Freshwater Fish,15.0
Austria,VULNERABLE,Invertebrates,356.0
Austria,VULNERABLE,Lichens,251.0
Austria,VULNERABLE,Mammals,17.0
Austria,VULNERABLE,Mosses,135.0
Austria,VULNERABLE,Reptiles,3.0
Austria,VULNERABLE,Vascular plants,465.0
Belgium,CRITICAL,Birds,20.0
Belgium,CRITICAL,Fish,3.0
Belgium,CRITICAL,Freshwater Fish,1.0
Belgium,CRITICAL,Invertebrates,135.0
Belgium,CRITICAL,Mammals,4.0
Belgium,CRITICAL,Marine Fish,2.0
Belgium,CRITICAL,Vascular plants,253.0
Belgium,ENDANGERED,Birds,15.0
Belgium,ENDANGERED,Fish,4.0
Belgium,ENDANGERED,Freshwater Fish,1.0
Belgium,ENDANGERED,Invertebrates,201.0
Belgium,ENDANGERED,Mammals,2.0
Belgium,ENDANGERED,Marine Fish,3.0
Belgium,ENDANGERED,Vascular plants,107.0
Belgium,TOT_KNOWN,Birds,198.0
Belgium,TOT_KNOWN,Fish,142.0
Belgium,TOT_KNOWN,Freshwater Fish,43.0
Belgium,TOT_KNOWN,Invertebrates,5238.0
Belgium,TOT_KNOWN,Mammals,84.0
Belgium,TOT_KNOWN,Marine Fish,99.0
Belgium,TOT_KNOWN,Vascular plants,1818.0
Belgium,VULNERABLE,Birds,20.0
Belgium,VULNERABLE,Fish,22.0
Belgium,VULNERABLE,Freshwater Fish,13.0
Belgium,VULNERABLE,Invertebrates,230.0
Belgium,VULNERABLE,Mammals,12.0
Belgium,VULNERABLE,Marine Fish,9.0
Belgium,VULNERABLE,Vascular plants,63.0
